,title,overview,original_language,release_date,popularity,vote_count,vote_average
332,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",en,2011-04-21,135.144,17808,6.8
333,Naruto Shippuden the Movie: Blood Prison,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",ja,2011-07-30,135.075,339,7.2
334,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,en,2014-11-19,134.828,13347,6.8
335,Sweet & Sour,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",ko,2021-06-04,134.361,80,7.9
336,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",en,2012-03-01,133.456,5025,6.8
337,Let's Be Cops,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",en,2014-08-13,133.085,2287,6.4
338,More the Merrier,Multiple stories about the oscillating world of couple relationships and how difficult it can be to separate sex from love.,es,2021-07-30,132.787,246,6.7
339,Dragon Ball Z: Broly – The Legendary Super Saiyan,"While the Saiyan Paragus persuades Vegeta to rule a new planet, King Kai alerts Goku of the South Galaxy's destruction by an unknown Super Saiyan.",ja,1993-03-06,132.745,637,7.2
340,Ninja Assassin,"Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",en,2009-09-29,132.693,1111,6.5
341,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,en,2021-11-24,132.329,1161,7.6
342,Dhamaka,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",hi,2021-11-19,132.183,51,7.2
343,Mamá o papá,"Flora and Victor are fun, modern, caring parents. That is, until they decide to get a divorce, and the perfect job opportunity turns up for them. They now have one problem: custody.",es,2021-12-17,132.161,93,7.4
344,Jujutsu Kaisen 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",ja,2021-02-24,131.865,16,7.3
345,Plan A,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",en,2021-08-16,131.67,38,6.1
346,Mortal Kombat Legends: Battle of the Realms,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",en,2021-08-30,130.947,230,8.0
347,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",en,1999-10-30,130.832,11340,7.6
348,Shrek 2,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",en,2004-05-19,129.817,9673,7.2
349,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",en,2005-07-13,129.73,12270,7.0
350,The Many Saints of Newark,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",en,2021-09-22,129.327,331,6.7
351,"Barbie: Big City, Big Dreams","Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an excusive summer performing arts program and meets…Barbie!  Fast friends, the two discover they share more than a name as they explore New York City and all the amazing things they have in common.  As they compete for the coveted once-in-a-lifetime Spotlight Solo from Times Square, the friends discover competition isn’t all about winning, it’s about striving to be your best, overcoming doubts, and sharing the spotlight.",en,2021-08-20,128.912,102,7.4
352,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",en,2010-07-15,128.153,30996,8.4
353,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",en,2009-06-02,128.083,14203,7.3
354,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",en,2017-04-12,128.08,8763,6.9
355,The Trip,"A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",no,2021-07-30,127.957,266,6.7
356,Grudge,"Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",tr,2021-10-08,127.521,40,6.4
357,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",en,2020-10-23,127.346,412,6.9
358,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",en,2013-11-20,126.917,14000,7.3
359,Masquerade,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,en,2021-07-30,126.608,55,6.4
360,Peninsula,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,ko,2020-07-15,126.455,1817,6.9
361,Munich: The Edge of War,"At the tense 1938 Munich Conference, former friends who now work for opposing governments become reluctant spies racing to expose a Nazi secret.",en,2022-01-06,126.304,231,6.9
362,Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",en,2009-06-26,125.986,6761,6.7
363,Train to Busan,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…",ko,2016-07-20,125.048,5458,7.8
364,El club del paro,,es,2021-09-17,124.996,12,5.0
365,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",en,2008-04-30,124.925,22260,7.6
366,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",en,2013-07-18,124.641,9126,7.5
367,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,en,2018-05-10,124.134,14340,7.5
368,Feels Like Euphoria,Monica and Lisa take their relationship to the next level despite one's patience and sexuality becoming in question.,en,2017-11-07,124.071,5,5.1
369,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",en,2001-12-18,123.893,20546,8.4
370,Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",en,1998-06-18,123.821,7868,7.9
371,Fear Street: 1994,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",en,2021-06-28,123.663,1414,6.8
372,Sex and the City,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,en,2008-05-12,123.055,1754,6.6
373,Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,en,2010-07-03,123.03,3088,6.2
374,Given,"The film centers on the love relationship among the band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.",ja,2020-08-22,122.95,296,8.5
375,Dragon Ball Z: Broly – Second Coming,"A Saiyan Space pod crash-lands on Earth out of which a wounded Saiyan crawls: Broly, the Legendary Super Saiyan. The wounded Broly shouts out in frustration and turns into normal form. The place soon freezes, trapping him in it and he falls into a coma.",ja,1994-03-12,122.759,502,6.7
376,PAW Patrol: Jet To The Rescue,"A royal relative steals a gem with the power to make things fly, the Paw Patrol takes to the skies to stop him and save Barkingburg.",en,2020-09-10,122.733,129,7.0
377,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",en,2019-10-02,122.642,19928,8.2
378,Legend,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",en,2015-09-09,121.274,2819,6.9
379,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",en,2013-04-18,121.031,19085,6.9
380,Cuidado con lo que deseas,,es,2021-11-12,120.672,13,4.6
381,Spiral: From the Book of Saw,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",en,2021-05-12,120.655,1123,6.2
382,Weathering with You,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",ja,2019-06-19,120.549,1360,8.1
383,Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,en,2021-09-10,120.241,952,6.7
384,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,en,2016-06-08,120.229,6626,7.3
385,Abraham Lincoln: Vampire Hunter,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",en,2012-06-20,120.191,2716,5.7
386,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",en,2021-01-26,120.134,673,6.1
387,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",en,2013-10-30,119.95,14521,6.6
388,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",en,2003-07-09,119.336,17039,7.8
389,Solitary,"A man wakes up inside a room to discover he's a prisoner sent into space to form Earth's first colony, and worse - his cell mate Alana is hell bent on destroying everything.",en,2020-08-31,119.324,64,5.8
390,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",en,2018-01-17,119.165,6748,6.7
391,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",en,2007-05-19,118.486,11733,7.2
392,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",en,2003-12-01,118.351,19119,8.5
393,A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",ja,2016-09-17,118.015,2812,8.4
394,The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",en,2009-06-01,117.992,5298,7.1
395,The Last Airbender,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",en,2010-06-30,117.721,3210,4.7
396,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,en,2014-11-05,117.657,27885,8.4
397,Beckett,An American tourist in Greece finds himself on the run after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,en,2021-08-04,117.468,460,6.4
398,Hilda and the Mountain King,"When Hilda wakes up in the body of a troll, she must use her wits and courage to get back home, become human again — and save the city of Trolberg.",en,2021-12-30,117.3,48,7.4
399,Rurouni Kenshin: The Final,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",ja,2021-04-23,117.058,296,7.9
400,Euphoria,"The story of two sisters on a journey, where they try to get close to each other and approach the tough questions in life. Euphoria is a contemporary drama about responsibility and reconciliation, in a world where these concepts are gradually being lost.",en,2018-02-01,116.96,91,6.5
401,Journey 2: The Mysterious Island,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",en,2012-01-19,116.825,3428,6.1
402,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",en,2002-12-18,116.798,17767,8.4
403,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,en,2019-03-29,116.682,7347,7.1
404,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",en,1950-02-22,116.676,5542,7.0
405,Southpaw,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.",en,2015-03-24,116.616,4632,7.4
406,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,"Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again. A recap film of Kimetsu no Yaiba, covering episodes 1-5 with extra footage.",ja,2019-03-29,116.582,25,9.3
407,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,en,2006-07-06,116.121,13088,7.3
408,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",en,2010-06-10,116.035,4834,6.5
409,The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",en,2010-09-15,115.889,3940,7.2
410,Spoiled Brats,"The billionaire is tired of the whims of his own children and decides to teach them a lesson. He announces to them that he has become bankrupt. Now spoiled teenagers will have to do what they have never done: go to work, learn to love and value life.",fr,2021-09-15,114.905,247,6.3
411,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",en,2020-09-03,114.818,1223,6.5
412,The Penitent Thief,"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",en,2021-02-25,114.383,5,4.2
413,Scream,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",en,1996-12-20,114.182,4889,7.3
414,Pacific Rim,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse.",en,2013-07-11,113.647,10350,6.8
415,The Loud House Movie,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,en,2021-08-20,113.624,106,7.9
416,After Porn Ends 2,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",en,2017-03-28,113.401,192,5.5
417,Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",en,2012-06-27,113.282,6301,6.3
418,Pokémon the Movie: I Choose You!,"Ash Ketchum wakes up late one morning after having broken his alarm clock in his sleep. He eventually makes it to Professor Oak's lab, but is told that the three starter List of Pokémon (Bulbasaur, Squirtle, and Charmander) have already been taken by Trainers who were on time. However, Oak reveals that he has one more Pokémon, an Electric-type named Pikachu. Despite its volatile and feisty personality, as well as its refusal to get inside a Poké Ball, Ash happily takes Pikachu for his journey.",ja,2017-07-15,113.042,496,7.0
419,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",en,2012-07-16,112.949,19052,7.8
420,Shaun the Sheep: The Flight Before Christmas,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,en,2021-12-03,112.533,49,7.2
421,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",en,2018-03-28,112.345,12585,7.6
422,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",en,2021-02-24,111.79,1608,6.8
423,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",en,2020-02-05,111.303,8568,7.0
424,¡Qué Despadre!,"Pedro is a single man in his forties who likes to party, has no children and lives at night. Everything changes when he meets Alin. She mentions to him that she is looking for her dad and that there is a high probability that it is him.",es,2022-02-09,111.138,0,2.0
425,Voyagers,"With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power.",en,2021-04-08,111.115,447,6.2
426,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",en,2016-06-01,110.945,9824,7.9
427,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",en,2018-02-13,110.938,18674,7.4
428,Pokémon the Movie: Secrets of the Jungle,"In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",ja,2020-12-25,110.857,80,7.2
429,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",en,1997-11-18,110.811,20603,7.9
430,Porn to Be Free,"Italy, 1970. An increasing legion of harmless warriors begins a peaceful struggle for sexual freedom through pornography, shaking and shocking religious authorities and conservative political institutions. They are ironic, happy, crazy. They are dreamers, defenders of definitive communion between body and soul. But they were censored and humiliated. They were mistreated and arrested for demanding loud a new cultural renaissance.",it,2016-06-24,110.809,67,5.5
431,Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",en,2019-06-19,110.786,7784,7.6
432,A Forbidden Orange,"Spain, 1970s. A Clockwork Orange, a film considered by critics and audiences as one of the best works in the history of cinema, directed by Stanley Kubrick and released in 1971, was banned by the strict Franco government. However, the film was finally premiered, without going through censorship, during the 20th edition of the Seminci, the Valladolid Film Festival, on April 24, 1975. How was this possible?",es,2021-10-23,110.207,4,4.1
433,Dragon Ball Z: Bio-Broly,"Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan.",ja,1994-07-09,110.199,395,5.8
434,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",en,2021-01-15,109.6,1410,6.4
435,Nightbooks,"Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",en,2021-09-15,109.195,223,6.5
436,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",en,2009-05-20,109.143,5267,6.0
437,The Little Mermaid,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,en,1989-11-17,109.064,6323,7.4
438,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",en,2015-06-26,108.827,2439,5.3
439,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",en,2015-06-23,108.76,7070,5.9
440,Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,en,2009-10-15,108.745,3915,7.3
441,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",en,2014-12-16,108.339,4775,6.2
442,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",en,2010-11-24,108.326,9201,7.6
443,Koati,"A coati, a butterfly and a frog join forces in order to avoid an evil snake that is destroying their homes.",en,2021-10-22,108.09,48,7.6
444,The Kissing Booth 3,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",en,2021-08-11,107.987,1341,7.2
